abstracts,ieee_keywords,author_keywords
We investigate the feasibility of nanoengineered yttria-stabilized zirconia—aluminoEr3+- doped silicate fiber for high-power ultrafast fiber laser applications. The presented material studies and experimentally demonstrated laser performance indicate that such gain fiber could have significant advantages for generating efficient continuous-wave and high-peak-power mode-locked 1.55-μmfiber lasers.,"['Optical fiber dispersion', 'Glass', 'Optical fiber amplifiers', 'Optical fiber networks', 'Fiber lasers', 'Preforms']","['Fiber materials', 'nanoengineered fiber', 'zirconia alumino (YSZA)-silicate fiber', '$\\text{Er}^{3+}$-doped fiber']"
"In monolithic photonic integrated circuits (PICs), an optimized active/passive integration is needed to provide efficient coupling and low amount of interface reflections between amplifiers and passive components. A 1300 nm semiconductor optical amplifier (SOA) on InP substrate and optimized for butt-joint reflections is investigated. Material performance were assessed from measurements of broad area lasers. Room temperature operation reveals 1.2 W single facet output power with threshold current around 100 A/cm 2 per well. Characteristic temperatures of T 0 = 75 K and T 1 = 294 K were obtained. A compact model description of the SOA, suitable for the design of PICs and rate equation analysis, was applied to parametrize the unsaturated gain measurements. Current injection efficiency of 0.65, transparency carrier density of 0.57 10 18 cm −3 , and free carrier absorption losses up to 15 cm −1 were extracted from fitting the data. The model is verified with measurements of optical gain saturation. A modal gain of 15 dB for a 600 μm long narrow ridge SOA leads to output saturation power higher than 30 mW at 7 kA/cm 2 . This building block contributes to the development of an InP monolithic integration technology in the 1300 nm range, which can enable the use of photonic integrated circuits in many kind of applications.","['Semiconductor optical amplifiers', 'Optical waveguides', 'Indium phosphide', 'III-V semiconductor materials', 'Strain', 'Reflection', 'Optical reflection']","['InP', 'monolithic integrated circuits', 'o-band telecommunications', 'semiconductor optical amplifiers', 'semicondu- ctor device modeling']"
"In this paper, we demonstrate a novel 20-GSample/s burst-mode clock and data recovery (BM-CDR) technique for optical multiaccess networks. The BM-CDR incorporates an injection-locking method for clock recovery and a clock phase aligner employing space sampling with two multiphase clocks at 10 GHz and a phase-picking algorithm for automatic clock phase acquisition. The design provides low latency and fast response without requiring a reset signal from the network layer. The BM-CDR achieves a bit error rate <; 10 -10 while featuring instantaneous (0-bit) phase acquisition for any phase step (±2π rad) between successive bursts. We also compare the data with probabilistic theoretical predictions to validate the experimental results.","['Clocks', 'Passive optical networks', 'Bit rate', 'Logic gates', 'Optical fiber subscriber loops', 'Optical network units', 'Jitter']","['Access networks', 'burst mode (BM)', 'clock and data recovery (CDR)', 'clock phase aligner (CPA)', 'injection locking', 'probabilistic theory', 'space sampling']"
"In this paper, a novel two-dimensional (2D) generalized optical spatial modulation (GOSM) scheme is proposed for multiple-input multiple-output optical wireless communication (MIMO-OWC) systems. By grouping multiple successive time slots as one time block, 2D GOSM mapping can be performed not only in the space domain but also in the time domain. Specifically, two types of 2D GOSM mapping schemes are designed, including 2D-1 and 2D-2 GOSM mappings. Moreover, to address the high complexity issue of optimal joint maximum-likelihood (ML) detection and the noise amplification and error propagation issues of zero-forcing-based ML (ZF-ML) detection, a deep neural network (DNN)-aided detection scheme is further designed for 2D GOSM systems. Simulation results demonstrate the superiority of the proposed 2D GOSM scheme with deep learning-aided detection for high-speed and low-complexity MIMO-OWC systems. More specifically, a remarkable 3.4-dB signal-to-noise ratio (SNR) gain can be achieved by 2D GOSM in comparison to the conventional one-dimensional (1D) GOSM, when applying the DNN-aided detection.","['Light emitting diodes', 'Symbols', 'Modulation', 'Optical transmitters', 'Optical modulation', 'Adaptive optics', 'High-speed optical techniques']","['Deep learning', 'multiple-input multiple-output', 'Optical wireless communication']"
"We built a picosecond multi-pulse operated OPO to obtain 3.8 μm output. The quasi-synchronously pumping technique was used instead of synchronously pumping. Using this new technique, the peak powers of idler pulses were evidently improved, as well as an obvious reduction of the OPO threshold. These advantages will make quasi-synchronously pumping become the primary approach to build the laser source for free-space communication and infrared counterrmeasure.","['Optical fiber amplifiers', 'Laser excitation', 'Pump lasers', 'Optical fiber polarization', 'Fiber lasers', 'Power lasers', 'Quantum cascade lasers']","['Fiber amplifier', 'mid-infrared', 'multi-pulse operation', 'picosecond']"
"We demonstrate a high peak power and high burst energy linear-polarization, narrowband, GHz-adjustable burst-mode fiber-bulk hybrid laser and its second-harmonic generation. Pre-compensation for rectangular burst envelope is investigated by iteration method.To the best of our knowledge, this is the highest reported output energy of burst-mode fiber-bulk hybrid laser with ∼ hundred nanoseconds burst duration.","['Optical fiber amplifiers', 'Fiber lasers', 'Power lasers', 'Masers', 'Optical fiber polarization', 'Semiconductor lasers', 'Optical fiber couplers']","['Burst-mode pulse laser', 'Fiber-bulk solid laser', 'Second-harmonic generation', 'Pulse shape']"
"We present an akinetically swept light source based on a spectrally broadened mode-locked laser in all normal dispersion optical fiber followed by a linear dispersive time stretch and a regenerative amplification stage. Developed for ultrafast swept-source optical coherence tomography (SS-OCT), the source enables the demonstration of A-scan rate at 40 MHz with a 12 μm axial resolution. Through A-scans captured from a fast-moving object, we demonstrate that high-speed OCT is possible at 1 μm wavelength in an architecture which is not intrinsically bandwidth limited. The source therefore shows a promising route to achieving high axial resolution in high-speed swept-source OCT.","['Optical fiber dispersion', 'Optical fibers', 'Optical fiber polarization', 'Bandwidth', 'Optical fiber amplifiers', 'Optical fiber devices', 'Fiber lasers']","['OCT', 'supercontinuum generation', 'fast imaging', 'swept source']"
"GaN LEDs struggle with poor p-type doping due to the high ionization energy of magnesium. The incorporation of magnesium also inhibits the integration between LEDs and GaN power transistors, due to the differences in growth structures. To overcome these challenges and introduce novel functionality, NiO based tunneling LEDs are demonstrated. These devices have compatibility with the process flow of high power GaN devices. Earlier device turn-on was demonstrated alongside AC perform.","['Light emitting diodes', 'Tunneling', 'Gallium nitride', 'Temperature measurement', 'Metals', 'Doping', 'Capacitors']","['LED', 'GaN', 'LiFi', 'Tunneling', 'MIS', 'AC']"
"The inter-data center links are meeting the challenge of increasing transmission capacity continuously. Here, the tradeoff between transmission capacity and cost and power consumption especially needs to be considered. The field modulation polarization-division-multiplexed (PDM) four-level pulse amplitude modulation (PAM4) with coherent detection is a potential candidate for 400 Gb/s and beyond inter-data center transmissions, which has several advantages including low-cost, low optical signal to noise ratio (OSNR) requirement and high receiver sensitivity. In this paper, the feasibility and effectiveness of the field PDM-PAM4 coherent system are investigated over multi core fiber (MCF). In order to adapt to the field PAM signals, the signal-phase aid least-mean square (SP-LMS) and training multi-modulus algorithm (TMMA) are modified and analyzed for equalization and polarization demultiplexing. Finally, it is demonstrated that 4×112 Gb/s field PDM-PAM4 is successful transmitted over 16 km MCF and 384 km SSMF in C-band with a BER below 3.8e-3.","['Optical fiber polarization', 'Training', 'Costs', 'Sensitivity', 'Power demand', 'C-band', 'Coherence']","['MCF', 'data center', 'coherent detection', 'low cost']"
"We propose and experimentally demonstrate a receiver-side electronic dispersion compensation (EDC) algorithm for C-band 56 Gbit/s OOK signal over 20km dispersion-uncompensated link. The proposed EDC algorithm includes feed-forward equalizer, post filter and iterative detection algorithm, which is originally used in spectrally efficient frequency division multiplexing systems. The proposed scheme can keep the system cost-effective and flexible, showing potentials for optical interconnects.","['Optical attenuators', 'Optical receivers', 'Adaptive optics', 'Optical fiber communication', 'Optical modulation', 'Dispersion', 'Integrated optics']","['C-band', 'on-off keying (OOK)', 'chromatic dispersion (CD)', 'power fading', 'electronic dispersion compensation algorithm']"
"We propose and demonstrate the concept of a novel 1 × N lossless adaptive optical power splitter (OPS) structure integrating a software-driven Opto-VLSI processor, optical amplifiers, and an array of 4-f imaging systems. The active area of the Opto-VLSI processor is divided into M pixel blocks driven by multicasting phase holograms and aligned with an M-element lens array and a fiber array, thus forming an array of 4-f imaging systems. Each 4-f imaging system is capable of collimating and adaptively splitting an input optical beam emerging from an optical fiber and then coupling the split beams into different output fiber ports, thus realizing dynamic optical power splitting. The Opto-VLSI processor is driven by optimized multicasting phase holograms that adaptively split an incident laser beam along different angles; thus, user-defined splitting ratios can be achieved. Experimental results show that the optical amplifiers compensate for the splitting and the insertion losses, making the adaptive OPS lossless.","['Optical fibers', 'Optical beams', 'Optical imaging', 'Laser beams', 'Adaptive optics', 'Optical amplifiers']","['Adaptive optical splitter', 'beam splitter', 'liquid crystal devices', 'optical communications', 'Opto-VLSI processor']"
An innovative 103.12 Gb/s WDM PAM4 transmission based on VCSELs with light injection and optoelectronic feedback techniques is demonstrated. Good BER performance and clear eye diagrams are acquired at a 180-m OM4 MMF operation. Such a proposed 103.12 Gb/s WDM PAM4 transmission is shown to be a potential one to show its feasibility for short-reach lightwave transmissions.,"['Wavelength division multiplexing', 'Laser feedback', 'Optical feedback', 'Vertical cavity surface emitting lasers', 'Adaptive optics', 'Bandwidth']","['Four-level pulse amplitude modulation (PAM4)', 'light injection and optoelectronic feedback', 'vertical-cavity surface-emitting laser (VCSEL)', 'wavelength-division-multiplexing (WDM).']"
"An innovative bidirectional fiber-wireless and fiber-invisible laser light communication (IVLLC) convergence system based on a polarization-orthogonal modulation scheme and a MZM-OEO-based BLS is proposed and demonstrated. This proposed bidirectional fiber-wireless and fiber-IVLLC convergence system has a great potential for providing broadband integrated services such as CATV, Internet, and big data services.","['Optical attenuators', 'Optical filters', 'Optical polarization', 'Optical fiber polarization', 'Optical fiber cables']","['Dual-polarization modulation', 'fiber-invisible laser light communication (IVLLC) convergence', 'fiber-wireless convergence', 'Mach–Zehnder modulator (MZM)-optoelectronic oscillator (OEO).']"
"The generation of the optical frequency comb (OFC) is important in many fields. A number of alternative approaches have been proposed for the generation of high quality OFCs. We proposed a novel scheme to generate a self-sustained rectangular OFC with tunable spacing and bandwidth by using an optoelectronic oscillator (OEO) employing recirculation frequency shifter (RFS) loop. Without any external RF sources, the generated OFCs have more than 30 comb lines with 8 GHz and 10 GHz spacing.","['Radio frequency', 'Optical harmonic generation', 'Frequency modulation', 'Optical polarization', 'Phase noise']","['Recirculation frequency shifting (RFS)', 'optical frequency comb (OFC)', 'inphase/quadrature (I/Q) modulator', 'optoelectronic oscillator (OEO).']"
"We show the high-order soliton evolution in the dissipative systems like the fiber lase will induce the splitting of the single-pulse soliton. After the single-pulse soliton splitting into the dual-pulse, the dual-pulse will partially annihilate into the single-pulse. The pulse state switching process repeats with a random manner. Our results point out a novel mechanism of the pulse-splitting in fiber lasers and enrich the high-order soliton dynamics in dissipative sytems.","['Solitons', 'Laser mode locking', 'Laser theory', 'Dispersion', 'Bandwidth']","['Mode-locked lasers', 'nonlinear fiber optics', 'temporal soliton and pulse propagation.']"
"Accurate probing, monitoring, and controlling the pH level is critical in different fields. In the last two decades, optical fiber/waveguide-based pH sensors have been widely investigated with the aim of further enhancement of sensitivity and miniaturization. Here, we propose a novel and cost-effective pH sensor based on polymer waveguide Bragg grating, addressing main aspects like sensitivity enhancement, miniaturization, narrow band response, and stable performance. The large evanescent field due to metal under cladding and high index coating combined with excellent penetration depth match with pH-sensitive polymer coating of poly-acrylic acid/poly-allylamine hydrochloride (PAA/PAH) in an aqueous medium, ensures a sensitivity of 10.4 nm/pH for a pH range of 4 to 7, two orders higher than all reported Bragg grating pH sensors to our knowledge. A narrow band (∼1 nm) response has been ensured by low propagation loss of the TE mode. Further, the variations in sensitivity and peak reflectivity are within 3% for a ±10% inaccuracy in various structural parameters, reflecting excellent fabrication tolerances. The proposed sensor is an important development, especially for the perishable food industry in which a high sensitivity in a pH range of 4 to 7 is highly desirable to accurately determine the freshness of foods.","['Sensitivity', 'Indexes', 'Polymers', 'Gratings', 'Reflectivity', 'Optical fiber sensors', 'Couplings']","['Gratings', 'photonic crystal', 'sensors', 'waveguides']"
"This study, to the best of our knowledge, is the first report on the feasibility of achieving on-chip comb spectral broadening system for Kerr frequency combs. Different nonlinear integrated waveguides with and without two-photon absorption have been analyzed. The result shows that it's still challenging for the realization of fully integrated metrology system limited by amplifier performance. This work is believed to provide useful support to this advancing area.","['Dispersion', 'Cavity resonators', 'Wave power', 'Silicon', 'System-on-chip', 'Optical fiber amplifiers']","['Integrated photonic system', 'Kerr effect.']"
"Previously, when selecting silicon photomultipliers (SiPMs) for use in visible light communications (VLC) systems the bandwidth of the SiPM has been a high priority. However, results of experiments on VLC receivers containing two different sizes of commercially available SiPMs show that, if equalization is used and the OOK bit time is less than one third of the duration of its output pulses, the SiPMs bandwidth doesn't significantly impact the receiver's performance. Consequently, for these data rates the criteria used to select which SiPM to incorporate in VLC receivers should put a higher priority on their area and photon detection efficiency than on their bandwidth. In addition, for these data rates, unless the SiPM becomes non-linear, the performance of a receiver containing a SiPM can be predicted based upon Poisson statistics.","['Receivers', 'Photonics', 'Microcell networks', 'Bandwidth', 'Visible light communication', 'Signal to noise ratio', 'Optical fibers']","['Optical wireless communications', 'silicon photomultiplier', 'visible light communications']"
"We propose a novel demodulation scheme based on measuring interference fringe visibility and demonstrate it using a typical Michelson interferometer (MI) configuration. The key component to achieve the scheme is a section of highly birefringent fiber (HBF) spliced into the sensing arm to function as the sensing element. The optical path difference (OPD) leads to interference fringes, while the birefringence of the HBF results in a visibility envelop. It is possible to detect measurands associated with birefringence through measuring the visibility, which is attributed to a flexible use of the fundamental principle of interferometry. As one of the potential applications, temperature sensing employing the MI configuration is performed. Moreover, the technique has the advantage of being immune to element instabilities, such as power fluctuation of the light source, phase shift of the reference arm, noise of the photo detector, and wavelength shift of the optical spectrum analyzer (OSA). This work may provide an alternative method to achieve high precision interferometry with low cost.","['Temperature measurement', 'Temperature sensors', 'Optical interferometry', 'Demodulation', 'Interference', 'Wavelength measurement', 'Temperature distribution']","['Demodulation', 'visibility', 'michelson interferometer', 'fiber sensing']"
"Optical phased array (OPA) can achieve beam steering by controlling the phase distribution of each channel. In traditional OPA, 2π phase tuning range is required to achieve beam steering. However, large phase tuning range can lead to large size, high power consumption, high operating voltage and low speed. Here, we propose a design method of OPA with insufficient phase tuning range (<2π), >10 dB side-mode suppression ratio (SMSR) can be achieved with any phase tuning range.","['Tuning', 'Design methodology', 'Phased arrays', 'Beam steering', 'Optical arrays', 'Optical design']","['Integrated Optics', 'optical phased array']"
"For potential biomedical applications using FF-OCM, suitable light sources and fast en-face image reconstruction methods are essential. Here, a FF-OCM system using a single broadband WLED light source in combination with a derivative-based algorithm for imaging of melanoma mouse ear skin is demonstrated. This system is compact, cost-effective and provides high spatial resolution with fast image processing comparable to the present state of the art.","['Light emitting diodes', 'Light sources', 'Imaging', 'Optical interferometry', 'Image reconstruction', 'Image resolution', 'Algorithm design and analysis']","['Full-field optical coherence microscopy (FF-OCM)', 'imaging system', 'derivative-based algorithms', 'white light emitting diodes', 'melanoma']"
"A few mode fiber temperature sensor filled with PDMS based on vernier effect is proposed. It uses single mode fiber (SMF), few mode fiber (FMF), and polydimethylsiloxane (PDMS) to form the SMF-air microcavity-FMF-PDMS-FMF structure. It is to slot the glass capillary tube, place the two FMFs in the slot at a suitable distance, and fill the slot with PDMS multiple times and seal it. The PDMS is used as a sensing microcavity. We insert the SMF from the other end of the glass capillary tube, adjust the distance, fix the SMF and seal the connection. Two end faces of the SMF and the first FMF form an air reference microcavity. Since the refractive index of each medium is different, multiple reflective surfaces are formed to reflect. Because the second FMF is infinitely long, whose right end is beveled, it is considered that the sensor has four reflected beams. When the temperature changes, the length and refractive index of the PDMS microcavity will change, which will cause a change in the interference spectrum of the sensor. And because the vernier effect is formed by the superposition of the two microcavities, the temperature sensitivity can be amplified and the temperature can be measured with high sensitivity. The experimental results show that in the range of 40–56°C, the transmission spectrum of the sensor appears red shift with the increase of temperature, and the temperature sensitivity can reach 3.89nm/°C. The sensor is simple to manufacture, has high sensitivity, and has good application prospects.","['Sensors', 'Optical fiber sensors', 'Temperature sensors', 'Optical fibers', 'Microcavities', 'Sagnac interferometers', 'Sensitivity']","['Fiber optics', 'Vernier effect', 'few mode fiber', 'temperature']"
"A layer-reduced neural network based digital backpropagation algorithm called smoothing learned digital backpropagation (smoothing-LDBP), is proposed in this paper. The smoothing-LDBP smooths the power terms in nonlinear activation functions to limit the bandwidth. The limited bandwidth of the power terms generates fewer in-band distortions, thus reduces the required layer for a given equalization performance. Simulation results show that the required layers of smoothing-LDBP are reduced by approximately 62% at 6.7% HD-FEC compared with learned digital backpropagation. Owing to the layer reduction, the latency and the complexity are reduced by 69% and 51%, respectively. The layer-reduced property of smoothing-LDBP is also validated by a proof-of-concept experiment.","['Backpropagation', 'Q-factor', 'Degradation', 'Smoothing methods', 'Simulation', 'Nonlinear distortion', 'Bandwidth']","['Kerr effect', 'machine learning']"
"The features of unmanned aerial vehicles (UAVs), such as strong manoeuvrability, small size, and light weight, make them considered to participate in free space optical (FSO) quantum communication, becoming an important part of the Space-Air-Ground Integrated Network. However, research reports on small-sized drones based long-range optical quantum link are few. A major challenge is that traditional opto-mechanical structure is difficult to adapt to small UAV platforms. Here, a lower size, weight, and power (SWaP) acquisition and tracking system prototype is developed, and its greatest advantage is that the system can be easily integrated into small flying platforms and quickly build a long-distance quantum communication link. The prototype weighs less than 8 kg. A small-sized two-axis mirror mechanism is designed for wide-range acquisition and tracking. Moreover, the system can automatically point to ground station. The SWaP acquisition and tracking system can support quantum key distribution (QKD) link and general FSO link by drones. In the 7 km air-to-ground demonstration, the acquisition and tracking system prototype is tested in practice, which is suspended under the small six-rotor UAV platform, and a special passive vibration isolation unit is added in between. A ten-minute continuous and stable beacon tracking proves that the system can quickly and automatically align.","['Prototypes', 'Optical fibers', 'Optical attenuators', 'Mirrors', 'Vibrations', 'Aircraft', 'Satellites']","['Electro-optical system', 'free-space link', 'drone', 'quantum network']"
"Scanning MEMS mirrors can extend confocal laser microscopy into endoscopic applications, but the practical use of MEMS mirror-based confocal endomicroscopy is hindered partially by various image distortions such as barrel, fan-shaped and nonlinear distortions. In this work, the nonlinear scanning behaviors of an electrothermal MEMS mirror are analyzed and incorporated into an optical scanning model that takes all these three types of distortions into account. The model generates a 2D spatial mapping that can be applied to correct all of the image distortions in one step without a calibration board. To experimentally validate this method, a confocal laser endomicroscope employing a two-axis scanning electrothermal MEMS micromirror is designed and constructed, and confocal fluorescence images of a patterned micro-structure are obtained with the endomicroscope. The results show that the overall image distortion is reduced by at least one order of magnitude in the length direction.","['Optical distortion', 'Optical imaging', 'Micromechanical devices', 'Optical reflection', 'Mirrors', 'Optical filters', 'Optical diffraction']","['Confocal imaging', 'endomicroscope', 'MEMS mirror', 'distortion correction', 'nonlinear']"
"Here, we propose a method to design a quasi-one-dimensional meta-coupler that converts incident cylindrical propagating waves into guided waves along wire waveguides by imposing an additional wave vector to the scattered waves, thus filling the momentum gap between the propagating waves and guided waves. Numerical simulations have confirmed this conversion effect. Our work may have potential applications in various areas including nano-photonics, silicone photonics, and plasmonics.","['Optical waveguides', 'Wires', 'Optical surface waves', 'Surface waves', 'Silicon', 'Electric fields']","['Electromagnetic metamaterials', 'optical waveguides', 'surface waves.']"
"Our paper proposed a method to achieve super resolved imaging in IR microscopy, called SR-SFG. The method theoretically breaks the diffraction limit of IR light and visible light. Theoretical evaluations and numerical simulations have been made to demonstrate the validity of our method. The innovation point is the combination of sum frequency generation and coherent structured illumination to obtain super resolution.","['Microscopy', 'Lighting', 'Spatial resolution', 'Laser beams', 'Image reconstruction']","['Spectroscopy', 'coherent imaging', 'non-linear microscopy', 'nanophotonics.']"
"Photon counting Lidar applied to long-distance ranging will face the problem of the number of received photons fluctuating with target distance and reflectivity. The previous studies aim to reduce the range walk error, but there will still be fluctuations, which still deteriorate the ranging performance.We propose a novel probability distribution regulator method to control the number of photons incident on the GM-APD as a fixed value to reduce and stabilize range walk error.","['Distance measurement', 'Detectors', 'Stability analysis', 'Laser radar', 'Attenuation']","['GM-APD', 'photon counting', 'range walk error', 'lidar.']"
"The Y field of view of an off-axis optical system is generally less than 1°. Scholars usually use a freeform surface to achieve a rectangular field of view imaging. However, it adds to the difficulty of processing, testing, assembling, and adjusting, and at the same time has the drawbacks of high manufacturing costs and long processing cycles. In view of the above problems, this paper presents a computational imaging design method for expanding the Y field of view of an off-axis optical system. This method analyzes the aberration characteristics of the optical system, creates a point spread function model based on the wavefront aberration theory and Zernike polynomials, and processes images using a spatial variation deconvolution algorithm. In this paper, we used this method to simulate an off-axis three-mirror optical system with a focal length of 260 mm, the f-number of 2.5, and a field of view of 8° × 1° and compare the images before and after processing. The results show that the processed images have a clear outline, the overall image quality is improved, the field of view is improved to 8° × 6°, and the modulation transfer function of the entire field of view is above 0.4. The off-axis optical system rectangular field of view imaging is realized without using a freeform surface.","['Optical imaging', 'Adaptive optics', 'Optical diffraction', 'Optical surface waves', 'Optical reflection', 'Optical sensors', 'Imaging']","['Optical design', 'off-axis optical system', 'computational imaging', 'Point Spread Function (PSF)']"
